date,count,fatal,injury
20131014,543,0,103
20131015,745,0,130
20131016,659,0,111
20131017,668,0,94
20131018,829,0,149
20131019,574,0,103
20131020,590,0,100
20131021,761,0,145
20131022,659,0,119
20131023,669,0,111
20131024,760,0,128
20131025,749,0,102
20131026,775,0,149
20131027,609,0,97
20131028,749,0,129
20131029,718,0,118
20131030,658,0,100
20131031,731,0,116
20131101,874,0,164
20131102,664,0,113
20131103,501,0,86
20131104,782,0,124
20131105,603,0,93
20131106,758,0,123
20131107,769,0,123
20131108,801,0,119
20131109,677,0,106
20131110,545,0,71
20131111,544,0,88
20131112,763,0,116
20131113,711,0,119
20131114,744,0,124
20131115,741,0,124
20131116,740,0,128
20131117,649,0,117
20131118,732,0,121
20131119,729,0,129
20131120,718,0,111
20131121,738,0,110
20131122,818,0,116
20131123,655,0,120
20131124,588,0,94
20131125,825,0,115
20131126,1054,0,187
20131127,911,0,169
20131128,506,0,77
20131129,502,0,66
20131130,556,0,77
20131201,502,0,82
20131202,657,0,108
20131203,662,0,109
20131204,629,0,109
20131205,693,0,120
20131206,928,0,169
20131207,682,0,115
20131208,549,0,93
20131209,749,0,110
20131210,645,0,106
20131211,729,0,124
20131212,757,0,109
20131213,809,0,114
20131214,790,0,100
20131215,522,0,72
20131216,744,0,104
20131217,810,0,107
20131218,805,0,104
20131219,724,0,117
20131220,802,0,128
20131221,715,0,121
20131222,601,0,96
20131223,836,0,129
20131224,623,0,108
20131225,304,0,47
20131226,502,0,74
20131227,560,0,84
20131228,562,0,87
20131229,473,0,79
20131230,565,0,89
20131231,552,0,87
20140101,489,0,90
20140102,699,0,96
20140103,456,0,33
20140104,486,0,68
20140105,367,0,47
20140106,612,0,94
20140107,587,0,96
20140108,729,0,113
20140109,642,0,81
20140110,802,0,135
20140111,579,0,114
20140112,461,0,73
20140113,678,0,110
20140114,696,0,138
20140115,677,0,94
20140116,628,0,107
20140117,695,0,106
20140118,540,0,92
20140119,468,0,88
20140120,419,0,59
20140121,1297,0,136
20140122,556,0,58
20140123,706,0,94
20140124,847,0,142
20140125,553,0,78
20140126,556,0,91
20140127,598,0,87
20140128,593,0,89
20140129,777,0,128
20140130,775,0,118
20140131,646,0,86
20140201,620,0,113
20140202,495,0,78
20140203,1079,0,119
20140204,696,0,83
20140205,513,0,45
20140206,643,0,74
20140207,765,0,90
20140208,476,0,52
20140209,508,0,58
20140210,795,0,117
20140211,717,0,81
20140212,729,0,89
20140213,511,0,64
20140214,879,0,88
20140215,578,0,62
20140216,517,0,53
20140217,567,0,76
20140218,595,0,77
20140219,639,0,87
20140220,631,0,75
20140221,640,0,95
20140222,685,0,98
20140223,501,0,87
20140224,659,0,90
20140225,588,0,75
20140226,599,0,88
20140227,668,0,97
20140228,769,0,114
20140301,590,0,93
20140302,399,0,55
20140303,512,0,72
20140304,611,0,79
20140305,574,0,83
20140306,652,0,94
20140307,618,0,85
20140308,611,0,96
20140309,477,0,73
20140310,603,0,90
20140311,596,0,86
20140312,593,0,78
20140313,635,0,90
20140314,678,0,93
20140315,606,0,87
20140316,478,0,66
20140317,617,0,98
20140318,645,0,94
20140319,626,0,101
20140320,731,0,104
20140321,717,0,128
20140322,591,0,98
20140323,511,0,84
20140324,638,0,91
20140325,557,0,83
20140326,662,0,99
20140327,638,0,100
20140328,622,0,92
20140329,697,0,128
20140330,528,0,91
20140331,654,0,95
20140401,628,0,79
20140402,608,0,89
20140403,696,0,104
20140404,734,0,112
20140405,684,0,104
20140406,575,0,91
20140407,642,0,109
20140408,704,0,98
20140409,709,0,114
20140410,760,0,115
20140411,715,0,106
20140412,700,0,122
20140413,581,0,99
20140414,619,0,106
20140415,540,0,88
20140416,695,0,125
20140417,579,0,71
20140418,568,0,72
20140419,638,0,112
20140420,464,0,71
20140421,601,0,80
20140422,546,0,87
20140423,634,0,98
20140424,690,0,104
20140425,716,0,99
20140426,644,0,96
20140427,563,0,114
20140428,702,0,105
20140429,644,0,89
20140430,788,0,137
20140501,773,0,123
20140502,814,0,116
20140503,701,0,111
20140504,538,0,87
20140505,722,0,104
20140506,679,0,114
20140507,707,0,104
20140508,692,0,96
20140509,678,0,94
20140510,649,0,100
20140511,689,0,105
20140512,698,0,117
20140513,658,0,98
20140514,760,0,124
20140515,792,0,133
20140516,820,0,120
20140517,731,0,112
20140518,603,0,96
20140519,669,0,97
20140520,766,0,116
20140521,665,0,90
20140522,686,0,93
20140523,790,0,130
20140524,587,0,101
20140525,568,0,96
20140526,519,0,86
20140527,767,0,122
20140528,613,0,75
20140529,799,0,136
20140530,778,0,128
20140531,688,0,101
20140601,736,0,132
20140602,762,0,119
20140603,761,0,98
20140604,675,0,93
20140605,673,0,104
20140606,885,0,142
20140607,739,0,116
20140608,640,0,124
20140609,630,0,102
20140610,656,0,87
20140611,672,0,96
20140612,669,0,106
20140613,840,0,132
20140614,714,0,102
20140615,587,0,112
20140616,756,0,134
20140617,810,0,144
20140618,778,0,115
20140619,801,0,126
20140620,931,0,166
20140621,675,0,118
20140622,571,0,94
20140623,762,0,118
20140624,753,0,121
20140625,774,0,128
20140626,813,0,143
20140627,772,0,112
20140628,732,0,121
20140629,654,0,117
20140630,733,0,124
20140701,732,0,116
20140702,776,0,118
20140703,887,0,147
20140704,443,0,83
20140705,645,0,140
20140706,550,0,99
20140707,722,0,108
20140708,702,0,108
20140709,655,0,86
20140710,696,0,112
20140711,767,0,126
20140712,645,0,95
20140713,532,0,93
20140714,678,0,112
20140715,689,0,102
20140716,662,0,111
20140717,686,0,99
